ID,BIN,LOCATION,FEAT_UND,STATE_CODE,TYPE,MAT,YR_BLT,YR_FAIL,DATE_FAIL,FAIL_TYPE,FAIL_CAUS,FATAL,INJURY,SOURCE,COMMENTS
910,1000450,"Rt 3, Jefferson Co",Sandy Creek,NY,Truss thru,Steel,,1990,,PC,Hydraulic - Ice,0,0,ARTL,
911,1008370,"Port Watson St Br, Rte. 11",Tioughnioga River,NY,,,,1990,,PC,Construction,0,0,SURV,
912,1043550,"Rt 258, Groveland, Livingston Co",Canaserage Creek,NY,Girder FB,Steel,1940,1990,,PC,Misc Abut-Soil Fail,0,0,MEMO,
913,,Meade Hill Drive,Bush Kill,NY,Truss pony,Steel,,1990,,TC,Overload PSTD,0,0,ARTL,
914,2257690,"Haiti Road, Mentz, Cayuga Co",Seneca River,NY,Truss thru,Steel,1904,1990,,TC,Overload PSTD,0,0,ARTL,
915,,Dorman Rd Town Chenango,Chenango Creek,NY,Girder,Steel,1940,1992,,TC,Overload,0,0,REG9,
916,1068010,"NY481 Town of Clay, Onondaga Co",Mud Creek,NY,Culvert,Steel,1972,1993,,PC,Misc - Deterioration,0,0,REG3,
917,,Ruhle Bridge,Ballston Creek Gorge,NY,Arch,Stone,1897,1993,26-Apr-1993,TC,Hydraulic,0,0,News,
1578,1068010,NY 481 NB & SB,Muddy Creek,NY,Culvert,Steel,1972,1993,8-Jan-1993,TC,Misc - Deterioration,0,0,Reg3,
1205,1016190,20 A 20A42031057,Beards Creek,NY,Girder,Steel,1937,1994,15-Apr-1994,PC,Misc -Salt Mine Coll,,,NEWS,
1377,3346460,Sheely Road,Sundown Creek,NY,,Wood,1951,1994,12-Jul-1994,TC,Overload,0,0,FLAG,
1379,2217440,Stowell Road,Glendenning Creek,NY,Truss,Steel,1962,1994,18-Aug-1994,PC,Hydraulic - Flood,,,Reg,
1530,,Grant Street,I 287,NY,Multi Gird,Steel,,1994,27-Jul-1994,PC,Collision - Explosio,1,23,News,
1531,1049381,Sagtikos State Parkway,Long Island Expwy,NY,Multi Gird,Steel,,1994,6-Oct-1994,PC,Fire - Explosion,1,,News,
1406,3201320,Long Road,West Kill Creek,NY,Multi Gird,Steel,1940,1996,20-Jan-1996,TC,Hydraulic,0,0,REG,
1407,2227010,Van Benschoten Road,Plattekill,NY,Multi Gird,Steel,1974,1996,19-Jan-1996,TC,Hydraulic - Flood,0,0,REG9,FLOOD96
1408,3351750,Cr1 Tremperkill Road,Tremperkill,NY,Multi Gird,Steel,1937,1996,19-Jan-1996,TC,Hydraulic - Flood,0,0,REG9,FLOOD96
1409,3353060,Flair Street,E. Branch Deleware R,NY,Thru Girder,Steel,1951,1996,19-Jan-1996,TC,Hydraulic - Flood,0,0,REG9,FLOOD96
1410,3356640,TH 43 Sipple Road,Hankins Creek,NY,Multi Gird,Timber,1959,1996,19-Jan-1996,TC,Hydraulic - Flood,0,0,REG9,FLOOD96
1411,3356660,TH59 Acid Factory,Pea Brook,NY,Multi Gird,Timber,1959,1996,19-Jan-1996,TC,Hydraulic - Flood,0,0,REG9,FLOOD96
1412,2267400,Vanderpool Road,Prospect Valley Crk,NY,Jack Arch,Steel -Con,1985,1996,19-Jan-1996,PC,Hydraulic - Flood,0,0,LOC,FLOOD96
1414,1061800,Peck Road,NY 690,NY,Two Girder,Steel,1971,1996,5-Jun-1996,PC,Collision,0,1,Reg3,Not Repl.
1420,3332010,Burch Hill Road,Catherine Creek,NY,,,,1996,2-Jun-1996,PC,Hydraulic - Scour,0,0,,
1516,3302320,Ormsby Road,Gulf Brook,NY,Multi Gird,Steel,1975,1996,9-Nov-1996,TC,Hydraulic-Flood,0,,Town,
1517,3302610,Spear Road,Bogurt River,NY,Multi Gird,Steel,1963,1996,9-Nov-1996,TC,Hydraulic-Flood,0,,Town,
1544,5512179,I-87,Central Ave.,NY,Multi Gird,Steel,,1997,9-Oct-1997,PC,Fire - Gas Tanker,1,,News,
1545,3332120,Hall Road,Hooker Creek,NY,Multi Gird,Steel,1934,1997,5-Dec-1997,PC,Overload,0,0,Reg,
1549,2219830,Buel Road,E. Br. Deer Creek,NY,Slab,Concrete,1920,1998,27-Jun-1998,PC,Hydraulics - Scour,0,0,R7,
1550,3335900,Dashnaw Road,Little Ausable River,NY,Multi Gird,Steel,1959,1998,27-Jun-1998,PC,Hydraulics - Scour,0,0,,
1551,3335950,CR 39 Clintonville Road,Little Ausable River,NY,Jack Arch,Concrete,1920,1998,27-Jun-1998,PC,Hydraulic - Scour,0,0,,
1552,3337430,WPA Road,W. Br. Deer Creek,NY,Multi Gird,Steel,1920,1998,27-Jun-1998,PC,Hydraulics - Scour,0,0,,
1553,2218880,Town of Spencer - Hart Road,Sulphur Spring Creek,NY,Culvert,Steel,1977,1998,8-Jul-1998,TC,Hydraulic - Scour,0,0,Reg,
1554,3367390,Springville-Boston Road,Spring Brook,NY,Culvert,Aluminum,1984,1998,26-Jul-1998,TC,Hydraulic - Scour,0,0,Reg,
1576,1058509,"Wantagh Parkway, Nassau Co.",Goose Creek,NY,Girder,PC,1930,1998,6-Apr-1998,PC,Hydrauli Tidal Scour,0,0,Reg,
81,1091550,Route 340,Sparkill Creek,NY,Arch-Deck,Masonry,1876,1999,17-Sep-1999,PC,Hydraulics - Flood,,,REG,
1555,3305130,"County Home Br. Rd., Warren Co.",Schroon River,NY,Truss Thru,Iron,1895,1999,10-May-1999,PC,Overload,0,0,REG1,
1556,1006720,"Pedestrain Bridge, Saratoga Co.",Route 9N,NY,Girder,Steel,1937,1999,27-May-1999,PC,Collision - Truck,,,Reg1,
1564,5513810,Lincoln Park Pedestrain Bridge,Route 100,NY,Girder,Steel,1958,1999,13-Oct-1999,TC,Collision,0,0,,
1561,2222280,"Van Deusen Road, Columbia Co.",Loomis Creek,NY,Girder,Steel,1930,2000,1-Mar-2000,TC,Steel Deterioration,0,0,BCR,Br. Cl. 89
1565,,Inactive Canadian Pacific RR,Rt 337,NY,,,0,2000,15-Feb-2000,PC,Collision,0,0,,
1566,100833,I-81 (SB),NY 11,NY,Girder,Steel,1969,2000,10-Jul-2000,PC,Collision,0,0,,
1567,1008332,I-81 NB,NY 11,NY,Girder,Steel,1969,2000,10-Jul-2000,PC,Collision,0,0,,
1569,3352500,Basin Clove Road,W Br. Delaware River,NY,Covered,Wood,1859,2000,19-Jul-2000,TC,Construction,0,0,News,
1570,4310090,"Co rte 27, Montgomery Co.",Barge Canal,NY,Truss Thru,Steel,1910,2000,12-Jun-2000,TC,Hydraulics - Flood,0,0,Reg,
1572,3357400,TH48 Tusten Road,Ten Mile River,NY,ArchFilled,Stone,1900,2000,12-Aug-2000,PC,Hydraulics - Flood,0,0,Reg,
1573,1053711,"Route 690 SB, Onondaga Co.",Route 370,NY,Girder,Steel,1969,2000,19-Jun-2000,PC,Collision,0,0,Reg.,
1577,3340080,"Co Rte 19, East Road - Lewis Co.",S.B. Negre Crrek,NY,Jack Arch,Concrete,0,2000,11-May-2000,TC,Hydraulics - Scour,0,0,Reg7,
1581,4443820,Moore Road,I-390 EB,NY,Girder,Steel,1981,2000,28-Aug-2000,PC,Collision,0,0,Reg4,
1583,1053711,NYS 690,Route 370,NY,Girder,Steel,1969,2000,19-Sep-2000,PC,Collision,0,0,Reg3,
1584,1070790,Town Line Road,I-390 SB,NY,Girder,Steel,1981,2000,6-Oct-2000,PC,Collision,0,0,Reg4,
1585,1012999,Route 26,Route 434,NY,Girder,Steel,1964,2000,11-Oct-2000,PC,Collision,0,0,Reg9,
1580,1027530,Route 58,WB Oswegatchie River,NY,Truss,Steel,1930,2001,21-Feb-2001,TC,Collision,1,0,Reg7,
1582,1020662,Route 29,I-87 NB,NY,Girder,Steel,1962,2001,6-Jan-2001,PC,Collision,0,0,Reg1,
1587,3338830,Military Road,Mill Creek,NY,Arch,Stone,1800,2001,3-May-2001,PC,Misc,0,0,Reg7,
1588,3331810,Langdon Hill Road,Newtown Creek,NY,Girder,Steel,1934,2001,4-Jun-2001,PC,Overload,0,0,Reg6,Timb Dck Fa
1589,2020410,Route 28A,Bushkill Creek,NY,Girder FB,Concrete,1911,2001,4-Jun-2001,PC,Hydraulic Scour,0,0,Reg8,
1591,1007632,NY 17,NY 10,NY,Girder,Steel,,2001,22-Jun-2001,PC,Collision,0,0,Reg9,
1592,5051740,I-790,Utica Inter./Gensee,NY,Girder,Steel,,2001,20-Apr-2001,PC,Collision,0,0,Reg2,
1593,2261160,"Sagg Road, Suffolk",L. I. R.R. Montauk B,NY,Girder,Timber,1951,2001,29-Jun-2001,PC,Natural - Fire,0,0,Reg0,
1595,2269290,Leon McGlashan Road,Batavia Kill,NY,Truss,Iron,1900,2001,25-Sep-2001,TC,Overload,0,0,Reg1,
1596,Private,Lower Shavertown Cov. Br,Trout Brook,NY,Covered,Timber,1877,2001,1-Jul-2001,PC,Overload,0,0,Net,
1599,1002460,"Route 5, Herkimer Co",East Canada Cr,NY,Truss,Steel,1931,2002,22-Mar-2002,PC,Collision,0,0,Reg2,
1601,1019300,"NY Route 27, Brookhaven",Station Road,NY,Girder,Steel,1959,2002,28-Aug-2002,PC,Collision,0,0,Reg0,
1604,1077970,"Pedestrian Bridge, Region 2",NYS Rte 49,NY,Box Girder,Steel,2002,2002,11-Oct-2002,TC,Constr No Lat brac,1,9,News,Fail.during constr.
1638,3330270,CR 1,S Br. Van Campen Cre,NY,Prestress,Concrete,1957,2003,9-Aug-2003,TC,Hydraulic - Flood,0,0,Reg6,
1639,3332670,County Road 16,Meads Creek,NY,Simple Span,Steel,1986,2003,22-Jul-2003,TC,Hydraulic - Flood,0,0,News,
1664,2205590,Jones Road,Madd River,NY,Truss,Steel,1935,2003,14-Jul-2003,TC,Overload,0,0,Reg2,
1640,1060020,Fletcher Street,Route 17,NY,Multi Gird,Steel,1968,2004,,PC,Collision - Multipl,0,0,Reg,Hit & repaired many times
199,109299A,"I-787 NB to Empire State Plaza, Albany",South Mall Expressway,NY,Girder,Steel,1973,2005,27-Jul-2005,TC,Misc - Bearings,0,0,,
1630,3347800,Bridge Street,Esopus Creek,NY,Girder,Steel,1976,2005,6-Apr-2005,PC,Hydraulic - Flood,0,0,REG,See file for photos
1631,2224200,Balace Road,Rondout Creek NY,NY,Girder,Steel,1955,2005,,PC,Hydraulic - Scour,0,0,REG,See file for photos
1632,3347020,Gossoo Road,Bushnellsville Creek,NY,Girder,Steel,1988,2005,,PC,Hydraulic - Scour,0,0,REG,See file for photos
